SSP2_4.5_emissionstotal,NewBAU_IEA_emissionstotal
30068.13125,30068.13125
30025.26579,30025.26579
31271.594,31271.594
32735.70201,32735.70201
33862.72637,33862.72637
34412.6023,34412.6023
35569.6389,35569.6389
35809.66535,35809.66535
36752.05567,36752.05567
37043.83634,37043.83634
38224.52935,38224.52935
39188.82811,39188.82811
40171.97029,40171.97029
40523.65806,40523.65806
41303.96624,41303.96624
41480.3605,41480.3605
41012.7412,41012.7412
41193.00129,41193.00129
42101.17744,42101.17744
37036.7672,35931.30112
37388.129,36262.59995
37708.7835,36593.89877
38029.439,36925.20142
38350.0935,37256.50024
38670.748,37587.79907
38991.4035,37919.10172
39312.058,38282.4173
39632.7125,38645.73288
39953.367,39009.04846
40274.0225,39372.36404
40594.677,39735.67963
40744.0684,40108.81424
40893.4588,40481.95267
41042.8502,40855.08728
41192.2416,41228.22571
41341.632,41601.36032
41491.0234,42012.79831
41640.4148,42424.2363
41789.8062,42835.67429
41939.1966,43247.11227
42088.588,43658.55026
42175.8565,44007.31277
42263.125,44399.59717
42350.3935,44791.88538
42437.662,45184.17358
42524.9305,45576.46179
42612.199,45968.74619
42699.4675,46361.03439
42786.736,46753.3226
42874.0045,47145.60699
42961.273,47537.8952
42838.7862,47930.18341
42716.2984,48322.4678
42593.8106,48714.75601
42471.3238,49107.04422
42348.837,49499.32861
42226.3492,49891.61682
42103.8614,50283.90503
41981.3746,50676.18942
41858.8878,51068.47763
41736.4,51460.76584
41307.4223,51853.05023
40878.4446,52245.33844
40449.4669,52637.62665
40020.4892,53029.91486
39591.5105,53422.19925
39162.5328,53814.48746
38733.5551,54206.77567
38304.5774,54599.06006
37875.5997,54991.34827
37446.622,55383.63647
36725.5317,55775.92087
36004.4414,56168.20908
35283.3511,56560.49728
34562.2608,56952.78168
33841.1705,57345.06989
33120.0792,57737.35809
32398.9889,58129.64249
31677.8986,58521.93069
30956.8083,58914.2189
30235.718,59306.5033
29276.2977,59698.7915
28316.8774,60091.07971
27357.4571,60483.36411
26398.0368,60875.65231
25438.6165,61267.94052
24479.1952,61660.22873
23519.7749,62052.51312
22560.3546,62444.80133
21600.9343,62837.08954
20641.514,63229.37393
20025.6565,63621.66214
19409.798,64013.94653
18793.9405,64406.23474
18178.083,64798.52295
17562.2255,65190.81116
16946.367,65583.09937
16330.5095,65975.38757
15714.652,66367.66815
15098.7935,66759.95636
14482.936,67152.24457